Artikelnummer | NW-Katalogartikelnummer,(Kurz)Bezeichnung | BMEcat-Kurztext,EAN - EAN,Hersteller | Lieferant-Name 1,HTrstTllTr-ArtikTlNr. | WTrksnummTr LiTfTrant,Konditionsgruppe - (NW-KS),Ursprungsland - Ursprungsland,Zolltarifnummer - Zolltarifnummer,Preiseinheit - Preiseinheit Verkauf,Gebindemenge / BMEcat Verpackungsmenge,Katalogpreis / empf. VK - VK Brutto Preis ./. Rabatt,BMEcat Inhaltseinheit / Basismengeneinheit (BME),Versand-Kz. - KZ Versandkennzeichen NW,Preisdatum EK / Konditionsdatum,"Netto-Einkaufspreis (indiv., falls vorh.)",Kennzeichen Preis gepflegt
3222661713,unknown,"1,32216E+12",,V24728.33,ZK26,IT,69477457,1,1,808.00,PCE,P,18/08/2023,817.80,-1
3222661713,unknown,"1,32216E+12",,V2473.33,ZK26,IT,69477457,1,1,26.81,PCE,P,18/08/2023,88.87,-1
3222661722,unknown,"1,32216E+12",,V2473.5,ZK26,IT,69477457,1,1,28.61,PCE,P,18/08/2023,88.18,-1
3222661721,unknown,"1,32216E+12",,V2473/16,ZK26,IT,69477457,1,1,28.20,PCE,P,18/08/2023,10.88,-1
3222661722,unknown,"1,32216E+12",,V2473/4,ZK26,IT,69477457,1,1,608.00,PCE,P,18/08/2023,67.80,-1
3222661723,unknown,"1,32216E+12",,V2473/8,ZK26,IT,69477457,1,1,18.60,PCE,P,18/08/2023,88.86,-1
3222661726,unknown,"1,32216E+12",,V247333.33,ZK26,IT,69477457,1,1,861.00,PCE,P,18/08/2023,818.00,-1
3222661725,unknown,"1,32216E+12",,V24732.33,ZK26,IT,69477457,1,1,816.00,PCE,P,18/08/2023,880.60,-1
3222661726,unknown,"1,32216E+12",,V24736.33,ZK26,IT,69477457,1,1,878.00,PCE,P,18/08/2023,867.70,-1
3222661727,unknown,"1,32216E+12",,V2474.33,ZK26,IT,69477457,1,1,26.11,PCE,P,18/08/2023,88.88,-1
3222661723,unknown,"1,32216E+12",,V2474.5,ZK26,IT,69477457,1,1,28.20,PCE,P,18/08/2023,10.88,-1
3222661723,unknown,"1,32216E+12",,V247433.33,ZK26,IT,69477457,1,1,228.00,PCE,P,18/08/2023,101.80,-1
3222661732,unknown,"1,32216E+12",,V2475.33,ZK26,IT,69477457,1,1,26.61,PCE,P,18/08/2023,88.68,-1
3222661731,unknown,"1,32216E+12",,V2475.5,ZK26,IT,69477457,1,1,27.81,PCE,P,18/08/2023,11.78,-1
3222661732,unknown,"1,32216E+12",,V2475/16,ZK26,IT,69477457,1,1,86.60,PCE,P,18/08/2023,17.86,-1
3222661733,unknown,"1,32216E+12",,V2475/8,ZK26,IT,69477457,1,1,77.80,PCE,P,18/08/2023,76.81,-1
3222661736,unknown,"1,32216E+12",,V247533.33,ZK26,IT,69477457,1,1,880.00,PCE,P,18/08/2023,167.00,-1
