Artikelnummer | NW-Katalogartikelnummer,(Kurz)Bezeichnung | BMEcat-Kurztext,EAN - EAN,Hersteller | Lieferant-Name 1,HTrstTllTr-ArtikTlNr. | WTrksnummTr LiTfTrant,Konditionsgruppe - (NW-KS),Ursprungsland - Ursprungsland,Zolltarifnummer - Zolltarifnummer,Preiseinheit - Preiseinheit Verkauf,Gebindemenge / BMEcat Verpackungsmenge,Katalogpreis / empf. VK - VK Brutto Preis ./. Rabatt,BMEcat Inhaltseinheit / Basismengeneinheit (BME),Versand-Kz. - KZ Versandkennzeichen NW,Preisdatum EK / Konditionsdatum,"Netto-Einkaufspreis (indiv., falls vorh.)",Kennzeichen Preis gepflegt
          6762222222,             unknown,"         3,34667E+12",                 nan,          PZF-333334,                YJ02,                  AU,            54944454,                   1,                   1,11.20,                 PCE,                   P,          2023-07-10,77.77,                  -1
          6762222222,             unknown,"         3,34667E+12",                 nan,          PZF-133133,                YJ02,                  AU,            54944454,                   1,                   1,88.21,                 PCE,                   P,          2023-07-10,60.17,                  -1
          6762222225,             unknown,"         3,34667E+12",                 nan,          PZF-333335,                YJ02,                  AU,            54944454,                   1,                   1,66.21,                  PK,                   P,          2023-07-10,88.00,                  -1
          6762222226,             unknown,"         3,34667E+12",                 nan,          PZF-333336,                YJ02,                  AU,            54944454,                   1,                   1,88.21,                  PK,                   P,          2023-07-10,88.81,                  -1
          6762222227,             unknown,"         3,34667E+12",                 nan,          PZF-333337,                YJ02,                  AU,            54944454,                   1,                   1,88.21,                  PK,                   P,          2023-07-10,88.81,                  -1
          6762222223,             unknown,"         3,34667E+12",                 nan,          PZF-333338,                YJ02,                  AU,            54944454,                   1,                   1,81.21,                 PCE,                   P,          2023-07-10,86.60,                  -1
          6762222223,             unknown,"         3,34667E+12",                 nan,         PZF-3333533,                YJ02,                  AU,            54944454,                   1,                   1,88.21,                 PCE,                   P,          2023-07-10,88.81,                  -1
          6762222212,             unknown,"         3,34667E+12",                 nan,          PZF-333351,                YJ02,                  AU,            54944454,                   1,                   1,16.21,                 PCE,                   P,          2023-07-10,78.17,                  -1
          6762222211,             unknown,                   2,                 nan,          PZF-333387,                YJ02,                  AU,            54944454,                   1,                   1,17.21,                 PCE,                   P,          2023-07-10,76.00,                  -1
          6762222213,             unknown,"         3,34667E+12",                 nan,         PZF-3333333,                YJ02,                  AU,            54944454,                   1,                   1,86.21,                 PCE,                   P,          2023-07-10,87.86,                  -1
          6762222215,             unknown,"         3,34667E+12",                 nan,          PZF-333343,                YJ02,                  AU,            54944454,                   1,                   1,81.21,                  PK,                   P,          2023-07-10,86.86,                  -1
          6762222222,             unknown,"         3,34667E+12",                 nan,         PZF-3333633,                YJ02,                  AU,            54944454,                   1,                   1,68.61,                 PCE,                   P,          2023-07-10,80.80,                  -1
          6762222221,             unknown,"         3,34667E+12",                 nan,         PZF-3333733,                YJ02,                  AU,            54944454,                   1,                   1,60.71,                 PCE,                   P,          2023-07-10,88.60,                  -1
          6762222222,             unknown,"         3,34667E+12",                 nan,          PZF-333327,                YJ02,                  AU,            54944454,                   1,                   1,88.21,                 PCE,                   P,          2023-07-10,67.70,                  -1
          6762222223,             unknown,"         3,34667E+12",                 nan,          PZF-333333,                YJ02,                  AU,            54944454,                   1,                   1,88.21,                 PCE,                   P,          2023-07-10,67.70,                  -1
          6762222226,             unknown,"         3,34667E+12",                 nan,           PZF-13314,                YJ02,                  AU,            54944454,                   1,                   1,88.20,                 PCE,                   P,          2023-07-10,88.71,                  -1
          6762222226,             unknown,"         3,34667E+12",                 nan,          PZF-333357,                YJ02,                  AU,            54944454,                   1,                   1,26.21,                  PK,                   P,          2023-07-10,18.86,                  -1
          6762222227,             unknown,"         3,34667E+12",                 nan,          PZF-333358,                YJ02,                  AU,            54944454,                   1,                   1,26.21,                  PK,                   P,          2023-07-10,18.86,                  -1
          6762222223,             unknown,"         3,34667E+12",                 nan,          PZF-333374,                YJ02,                  AU,            54944454,                   1,                   1,18.21,                  SA,                   P,          2023-07-10,78.18,                  -1
          6762222223,             unknown,"         3,34667E+12",                 nan,           PZF-11336,                YJ02,                  AU,            54944454,                   1,                   1,88.20,                 PCE,                   P,          2023-07-10,88.71,                  -1
          6762222232,             unknown,"         3,34667E+12",                 nan,          PZF-333314,                YJ02,                  AU,            54944454,                   1,                   1,88.21,                 PCE,                   P,          2023-07-10,88.81,                  -1
