Artikelnummer | NW-Katalogartikelnummer;(Kurz)Bezeichnung | BMEcat-Kurztext;EAN - EAN;Hersteller | Lieferant-Name 1;HTrstTllTr-ArtikTlNr. | WTrksnummTr LiTfTrant;Konditionsgruppe - (NW-KS);Ursprungsland - Ursprungsland;Zolltarifnummer - Zolltarifnummer;Preiseinheit - Preiseinheit Verkauf;Gebindemenge / BMEcat Verpackungsmenge;Katalogpreis / empf. VK - VK Brutto Preis ./. Rabatt;BMEcat Inhaltseinheit / Basismengeneinheit (BME);Versand-Kz. - KZ Versandkennzeichen NW;Preisdatum EK / Konditionsdatum;Netto-Einkaufspreis (indiv., falls vorh.);Kennzeichen Preis gepflegt
6762222222;unknown;3,34667E+12;;PZF-333334;YJ02;AU;54944454;1;1;112;PCE;P;45110;777,7;-1
6762222222;unknown;3,34667E+12;;PZF-133133;YJ02;AU;54944454;1;1;88,21;PCE;P;45110;60,17;-1
6762222225;unknown;3,34667E+12;;PZF-333335;YJ02;AU;54944454;1;1;66,21;PK;P;45110;88;-1
6762222226;unknown;3,34667E+12;;PZF-333336;YJ02;AU;54944454;1;1;88,21;PK;P;45110;88,81;-1
6762222227;unknown;3,34667E+12;;PZF-333337;YJ02;AU;54944454;1;1;88,21;PK;P;45110;88,81;-1
6762222223;unknown;3,34667E+12;;PZF-333338;YJ02;AU;54944454;1;1;81,21;PCE;P;45110;86,6;-1
6762222223;unknown;3,34667E+12;;PZF-3333533;YJ02;AU;54944454;1;1;88,21;PCE;P;45110;88,81;-1
6762222212;unknown;3,34667E+12;;PZF-333351;YJ02;AU;54944454;1;1;16,21;PCE;P;45110;78,17;-1
6762222211;unknown;2;;PZF-333387;YJ02;AU;54944454;1;1;17,21;PCE;P;45110;76;-1
6762222213;unknown;3,34667E+12;;PZF-3333333;YJ02;AU;54944454;1;1;86,21;PCE;P;45110;87,86;-1
6762222215;unknown;3,34667E+12;;PZF-333343;YJ02;AU;54944454;1;1;81,21;PK;P;45110;86,86;-1
6762222222;unknown;3,34667E+12;;PZF-3333633;YJ02;AU;54944454;1;1;6861;PCE;P;45110;8080,07;-1
6762222221;unknown;3,34667E+12;;PZF-3333733;YJ02;AU;54944454;1;1;6071;PCE;P;45110;886;-1
6762222222;unknown;3,34667E+12;;PZF-333327;YJ02;AU;54944454;1;1;88,21;PCE;P;45110;67,7;-1
6762222223;unknown;3,34667E+12;;PZF-333333;YJ02;AU;54944454;1;1;88,21;PCE;P;45110;67,7;-1
6762222226;unknown;3,34667E+12;;PZF-13314;YJ02;AU;54944454;1;1;882;PCE;P;45110;887,1;-1
6762222226;unknown;3,34667E+12;;PZF-333357;YJ02;AU;54944454;1;1;26,21;PK;P;45110;18,86;-1
6762222227;unknown;3,34667E+12;;PZF-333358;YJ02;AU;54944454;1;1;26,21;PK;P;45110;18,86;-1
6762222223;unknown;3,34667E+12;;PZF-333374;YJ02;AU;54944454;1;1;18,21;SA;P;45110;78,18;-1
6762222223;unknown;3,34667E+12;;PZF-11336;YJ02;AU;54944454;1;1;882;PCE;P;45110;887,1;-1
6762222232;unknown;3,34667E+12;;PZF-333314;YJ02;AU;54944454;1;1;88,21;PCE;P;45110;88,81;-1
6762222231;unknown;3,34667E+12;;PZF-333316;YJ02;AU;54944454;1;1;88,21;PCE;P;45110;88,81;-1
6762222232;unknown;3,34667E+12;;PZF-13312;YJ02;AU;54944454;1;1;88,21;PCE;P;45110;88,68;-1
6762222233;unknown;3,34667E+12;;PZF-13313;YJ02;AU;54944454;1;1;88,21;PCE;P;45110;88,68;-1
6762222236;unknown;3,34667E+12;;PZF-333373;YJ02;AU;54944454;1;1;18,21;PCE;P;45110;78,18;-1
6762222236;unknown;3,34667E+12;;PZF-333328;YJ02;AU;54944454;1;1;26,21;PK;P;45110;18,88;-1
6762222233;unknown;3,34667E+12;;PZF-333325;YJ02;AU;54944454;1;1;611;PCE;P;45110;810,17;-1
6762222233;unknown;3,34667E+12;;PZF-13315;YJ02;AU;54944454;1;1;622;PCE;P;45110;808,7;-1
6762222262;unknown;3,34667E+12;;PZF-13316;YJ02;AU;54944454;1;1;18,21;PCE;P;45110;78,18;-1
6762222261;unknown;3,34667E+12;;PZF-13317;YJ02;AU;54944454;1;1;612;PCE;P;45110;818,08;-1
6762222262;unknown;3,34667E+12;;PZF-13318;YJ02;AU;54944454;1;1;18,21;PK;P;45110;78,18;-1
6762222263;unknown;3,34667E+12;;PZF-13313;YJ02;AU;54944454;1;1;28,21;PK;P;45110;17,81;-1
6762222266;unknown;3,34667E+12;;PZF-133233;YJ02;AU;54944454;1;1;28,21;PK;P;45110;17,81;-1
6762222265;unknown;3,34667E+12;;PZF-13321;YJ02;AU;54944454;1;1;28,21;PCE;P;45110;17,81;-1
6762222266;unknown;3,34667E+12;;PZF-13322;YJ02;AU;54944454;1;1;602;PCE;P;45110;86,6;-1
6762222267;unknown;3,34667E+12;;PZF-333375;YJ02;AU;54944454;1;1;82,21;PCE;P;45110;87,7;-1
6762222263;unknown;3,34667E+12;;PZF-13327;YJ02;AU;54944454;1;1;602;PCE;P;45110;86,6;-1
6762222263;unknown;3,34667E+12;;PZF-333352;YJ02;AU;54944454;1;1;12,21;PCE;P;45110;77,1;-1
6762222252;unknown;3,34667E+12;;PZF-333377;YJ02;AU;54944454;1;1;12,21;PCE;P;45110;77,1;-1
6762222251;unknown;3,34667E+12;;PZF-333364;YJ02;AU;54944454;1;1;681;PCE;P;45110;87,1;-1
6762222252;unknown;3,34667E+12;;PZF-333362;YJ02;AU;54944454;1;1;681;PCE;P;45110;87,1;-1
6762222253;unknown;3,34667E+12;;PZF-333363;YJ02;AU;54944454;1;1;681;PCE;P;45110;87,1;-1
6762222256;unknown;3,34667E+12;;PZF-333378;YJ02;AU;54944454;1;1;60,21;PCE;P;45110;78,86;-1
6762222255;unknown;3,34667E+12;;PZF-133333;YJ02;AU;54944454;1;1;88,21;PCE;P;45110;88,81;-1
6762222256;unknown;3,34667E+12;;PZF-13328;YJ02;AU;54944454;1;1;88,21;PCE;P;45110;88,68;-1
6762222257;unknown;3,34667E+12;;PZF-11331;YJ02;AU;54944454;1;1;78,21;PCE;P;45110;87,76;-1
3222533665;unknown;1,32216E+12;;Z333321.33;ZH11;FR;69475464;1;10;2,67;PCE;P;45110;8,8887;-1
3222533666;unknown;1,32216E+12;;Z333321.1;ZH11;FR;69475464;1;10;2,2;PCE;P;45110;8,886;-1
3222533667;unknown;1,32216E+12;;Z333321.2;ZH11;FR;69475464;1;10;2,2;PCE;P;45110;8,886;-1
3222533663;unknown;1,32216E+12;;Z333321.3;ZH11;FR;69475464;1;10;2,67;PCE;P;45110;8,8887;-1
3222533663;unknown;1,32216E+12;;Z333321.4;ZH11;FR;69475464;1;10;2,08;PCE;P;45110;8,1768;-1
3222533652;unknown;1,32216E+12;;Z333321.5;ZH11;FR;69475464;1;10;8,78;PCE;P;45110;8,8676;-1
3222533651;unknown;1,32216E+12;;Z333321.6;ZH11;FR;69475464;1;10;8,67;PCE;P;45110;8,8187;-1
3222533652;unknown;1,32216E+12;;Z333321.7;ZH11;FR;69475464;1;10;8,88;PCE;P;45110;8,1086;-1
3222533653;unknown;1,32216E+12;;Z333321.8;ZH11;FR;69475464;1;10;8,82;PCE;P;45110;8,8886;-1
3222533656;unknown;1,32216E+12;;Z333321.3;ZH11;FR;69475464;1;10;8,78;PCE;P;45110;8,8676;-1
3222533655;unknown;1,32216E+12;;Z33332133.33;ZH11;BR;69475464;1;10;68;PCE;P;45110;8,88;-1
3222533656;unknown;1,32216E+12;;Z33332133.2;ZH11;BR;69475464;1;5;67,81;PCE;P;45110;7,787;-1
3222533657;unknown;1,32216E+12;;Z33332133.5;ZH11;BR;69475464;1;5;68,6;PCE;P;45110;7,601;-1
3222533653;unknown;1,32216E+12;;Z3333211.33;ZH11;BR;69475464;1;5;80,8;PCE;P;45110;8,786;-1
3222533653;unknown;1,32216E+12;;Z3333211.5;ZH11;BR;69475464;1;5;88,61;PCE;P;45110;8,808;-1
3222533662;unknown;1,32216E+12;;Z3333212.33;ZH11;BR;69475464;1;5;88,61;PCE;P;45110;80,878;-1
3222533661;unknown;1,32216E+12;;Z3333212.5;ZH11;BR;69475464;1;5;86,21;PCE;P;45110;88,067;-1
3222533662;unknown;1,32216E+12;;Z3333213.33;ZH11;BR;69475464;1;5;88,61;PCE;P;45110;81,088;-1
3222533663;unknown;1,32216E+12;;Z3333213.5;ZH11;BR;69475464;1;1;80,01;PCE;P;45110;86,818;-1
3222533666;unknown;1,32216E+12;;Z3333214.33;ZH11;BR;69475464;1;1;80,1;PCE;P;45110;87,08;-1
3222533665;unknown;1,32216E+12;;Z3333214.5;ZH11;BR;69475464;1;1;88,2;PCE;P;45110;10,186;-1
3222533666;unknown;1,32216E+12;;Z3333215.33;ZH11;BR;69475464;1;1;82,8;PCE;P;45110;10,886;-1
3222533667;unknown;1,32216E+12;;Z3333215.5;ZH11;BR;69475464;1;1;17;PCE;P;45110;18,87;-1
3222533663;unknown;1,32216E+12;;Z3333216.33;ZH11;BR;69475464;1;1;18,7;PCE;P;45110;17,687;-1
3222533663;unknown;1,32216E+12;;Z333322.33;ZH11;BR;69475464;1;10;8,86;PCE;P;45110;0,8781;-1
3222533672;unknown;1,32216E+12;;Z333322.1;ZH11;BR;69475464;1;10;8,67;PCE;P;45110;8,8187;-1
3222533671;unknown;1,32216E+12;;Z333322.2;ZH11;BR;69475464;1;10;8,78;PCE;P;45110;8,8717;-1
3222533672;unknown;1,32216E+12;;Z333322.3;ZH11;BR;69475464;1;10;8,78;PCE;P;45110;8,8717;-1
3222533673;unknown;1,32216E+12;;Z333322.4;ZH11;BR;69475464;1;10;8,78;PCE;P;45110;8,8717;-1
3222533676;unknown;1,32216E+12;;Z333322.5;ZH11;BR;69475464;1;10;8,11;PCE;P;45110;8,078;-1
3222533675;unknown;1,32216E+12;;Z333322.6;ZH11;BR;69475464;1;10;8,82;PCE;P;45110;8,8886;-1
3222533676;unknown;1,32216E+12;;Z333322.7;ZH11;BR;69475464;1;10;8,88;PCE;P;45110;8,1086;-1
3222533677;unknown;1,32216E+12;;Z333322.8;ZH11;BR;69475464;1;10;8,82;PCE;P;45110;8,8886;-1
3222533673;unknown;1,32216E+12;;Z333322.3;ZH11;BR;69475464;1;10;8,78;PCE;P;45110;8,8717;-1
3222533673;unknown;1,32216E+12;;Z333323.33;ZH11;BR;69475464;1;10;8,11;PCE;P;45110;8,078;-1
3222533632;unknown;1,32216E+12;;Z333323.1;ZH11;BR;69475464;1;10;8,27;PCE;P;45110;8,1777;-1
3222533631;unknown;1,32216E+12;;Z333323.2;ZH11;BR;69475464;1;10;8,22;PCE;P;45110;8,1806;-1
3222533632;unknown;1,32216E+12;;Z333323.3;ZH11;BR;69475464;1;10;8,67;PCE;P;45110;8,8187;-1
3222533633;unknown;1,32216E+12;;Z333323.4;ZH11;BR;69475464;1;10;2,08;PCE;P;45110;8,1768;-1
3222533636;unknown;1,32216E+12;;Z333323.5;ZH11;BR;69475464;1;10;2,68;PCE;P;45110;8,8807;-1
3222533635;unknown;1,32216E+12;;Z333323.6;ZH11;BR;69475464;1;10;2,88;PCE;P;45110;8,8608;-1
3222533636;unknown;1,32216E+12;;Z333323.7;ZH11;BR;69475464;1;10;2,68;PCE;P;45110;8,8807;-1
3222533637;unknown;1,32216E+12;;Z333323.8;ZH11;BR;69475464;1;10;2,66;PCE;P;45110;8,8871;-1
3222533633;unknown;1,32216E+12;;Z333323.3;ZH11;BR;69475464;1;10;2,66;PCE;P;45110;8,8871;-1
3222533633;unknown;1,32216E+12;;Z333324.33;ZH11;BR;69475464;1;10;2,2;PCE;P;45110;8,886;-1
3222533632;unknown;1,32216E+12;;Z333324.1;ZH11;BR;69475464;1;10;2,66;PCE;P;45110;8,8871;-1
3222533631;unknown;1,32216E+12;;Z333324.2;ZH11;BR;69475464;1;10;2,86;PCE;P;45110;8,7881;-1
3222533632;unknown;1,32216E+12;;Z333324.3;ZH11;BR;69475464;1;10;8,66;PCE;P;45110;8,7161;-1
3222533633;unknown;1,32216E+12;;Z333324.4;ZH11;BR;69475464;1;10;2,28;PCE;P;45110;8,6878;-1
3222533636;unknown;1,32216E+12;;Z333324.5;ZH11;BR;69475464;1;10;2,28;PCE;P;45110;8,6878;-1
3222533635;unknown;1,32216E+12;;Z333324.6;ZH11;BR;69475464;1;10;8,66;PCE;P;45110;8,7161;-1
3222533636;unknown;1,32216E+12;;Z333324.7;ZH11;BR;69475464;1;10;8,08;PCE;P;45110;8,7886;-1
3222533637;unknown;1,32216E+12;;Z333324.8;ZH11;BR;69475464;1;10;8,88;PCE;P;45110;8,7876;-1
3222533633;unknown;1,32216E+12;;Z333324.3;ZH11;BR;69475464;1;10;8,67;PCE;P;45110;8,7887;-1
3222533633;unknown;1,32216E+12;;Z333325.33;ZH11;BR;69475464;1;10;8,66;PCE;P;45110;8,7161;-1
